time,data 1,data 2,destination,micro operation
                 210,         0,    131072,32, 0
                 240,    131072,         0,33, 0
                 270,         0,         0,35, 0
                 280,         0,        64,36, 0
                 390,         0,         0,39, 0
                 400,         0,        64,40, 0
                 420,         0,        30,44, 0
                 430,         0,        30,45, 0
                 620,         0,        30,46, 0
                 640,         0,         0,47, 0
                 650,         0,        64,48, 0
                 710,         0,         0,52, 0
                 720,         0,        64,53, 0
                 780,         0,         0,58, 0
                 790,         0,        64,59, 0
